id	kritiker_etternavn	kritiker_fornavn	kritiker_kjonn	kritiker_pseudonym	kritiker_kommentar	kritikktype	publikasjon	utgivelsessted	aar	dato	aargang	nummer	bind	hefte	sidetall	utgivelseskommentar	tittel	spraak	kommentar	forfatter_etternavn	forfatter_fornavn	forfatter_kommentar	forfatter_kjonn	verk_tittel	verk_utgivelsessted	verk_dato	verk_sjanger	verk_spraak	verk_kommentar
17432	Markusson	Andreas	mann			dagskritikk	Porsgrunds Dagblad		1922	9. nov										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17433	Reiss-Andersen	Gunnar	mann			dagskritikk	Haugesunds Dagblad		1922	14. nov										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17434	Furu	Ove Gude	mann			dagskritikk	Nordlandsposten		1922	14. nov										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17435	Breidsvoll	Einar	mann	Br-l		dagskritikk	Den 17de Mai		1922	15. nov								nynorsk		Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17436			ukjent	O.H.		dagskritikk	Fredriksstads Avis		1922	16. nov										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17437	Uppdal	Kristofer	mann			artikkel, debatt c	Den 17de Mai		1922	17. nov								nynorsk	svar på dagskritikk av I. Debes i Nationen 7. nov.	Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17438	Hanssen	Olav	mann			artikkel, debatt d	Den 17de Mai		1922	17. nov							Tørber Landsem og ein bokdannar. 	nynorsk	Svar på dagskritikk av I. Debes i Nationen 7. nov.	Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17439	Fangen	Ronald	mann	R.F.		dagskritikk	Dagbladet		1922	18. nov		269								Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17440			ukjent	E.H.		dagskritikk	Gula Tidend		1922	18. nov								nynorsk		Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17441	Svendsen	Georg	mann			dagskritikk	Fremtiden		1922	22. nov										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17442			ukjent	O.E.		dagskritikk	Elverum		1922	22. nov										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17443	Elster	Kristian d.y.	mann			dagskritikk	Aftenposten		1922	23. nov						Aftenutgaven				Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17444	Nes	Simon	mann	S.N.		dagskritikk	1ste Mai		1922	25. nov									sosialistisk kritikk	Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17445			ukjent	O.J.S.		dagskritikk	Trondhjems Adresseavis		1922	25. nov										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17446	Ree	Ørnulf	mann			dagskritikk	Arbeider-Politikken		1922	27. nov									sosialistisk kritikk	Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17447	Hoel	Sigurd	mann			dagskritikk	Social-Demokraten		1922	30. nov		278							sosialistisk kritikk	Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17448			ukjent	R.T.		dagskritikk	Det tyvende århundrede		1922	01. des										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17449	Nes	Simon	mann	S.N.		dagskritikk	Haugesunds Avis		1922	6. des										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17450	Føyen	Jean F.	mann			dagskritikk	Norges Handels- og Sjøfartstidende		1922	8. des										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17451	Aas	Lars	mann			dagskritikk	Stavanger		1922	8. des										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17452	Sande	Olav	mann			dagskritikk	Sogns Tidend		1922	11. des								nynorsk		Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17453			ukjent	T.H.		dagskritikk	Agder Tidend		1922	11. des								nynorsk		Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17454	Eskeland	Øystein	mann			dagskritikk	Stavanger Aftenblad		1922	13. des										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17455			ukjent	h.h.		dagskritikk	Teledølen		1922	16. des										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17456			ukjent	T.N.		dagskritikk	Skotfos Avis		1922	20. des										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
