opes_id	ser_vol	editor	year	pg_no	photo	sb	corrections	preferred_citation	ddbdp_pmichcitation	ddbdp_omichcitation	ddbdp_p_rep	ddbdp_o_rep
114	SO 65	Forselv IL	1990	131-137	p. 137	SB XX 14665		Forselv IL, SO 65, 131-137, 1990, p. 137 -- SB XX 14665	SB:20:14665			"
115	P.Oslo III	Eitrem S-Amundsen L	1936	134				Eitrem S-Amundsen L, P.Oslo III, 134, 1936	p.oslo;3;134			"
116	P.Oslo III	Eitrem S-Amundsen L	1936	124				Eitrem S-Amundsen L, P.Oslo III, 124, 1936	p.oslo;3;124			"
117	P.Oslo III	Eitrem S-Amundsen L 	1936	141			BL III 127 (l.11)	Eitrem S-Amundsen L , P.Oslo III, 141, 1936 -- BL III 127 (l.11)	p.oslo;3;141			"
118	P.Oslo III	Eitrem S-Amundsen L 	1936	76				Eitrem S-Amundsen L , P.Oslo III, 76, 1936	p.oslo;3;76			"
119	P.Oslo III	Eitrem S-Amundsen L 	1936	100				Eitrem S-Amundsen L , P.Oslo III, 100, 1936	p.oslo;3;100			"
120	P.Oslo III	Eitrem S-Amundsen L 	1936	101				Eitrem S-Amundsen L , P.Oslo III, 101, 1936	p.oslo;3;101			"
121	P.Oslo III	Eitrem S-Amundsen L 	1936	102				Eitrem S-Amundsen L , P.Oslo III, 102, 1936	p.oslo;3;102			"
122	P.Oslo III	Eitrem S-Amundsen L 	1936	103				Eitrem S-Amundsen L , P.Oslo III, 103, 1936	p.oslo;3;103			"
123	P.Oslo III	Eitrem S-Amundsen L 	1936	104			Eitrem S-Amundsen L , P.Oslo III, 1936, p. 279 (l. 5)	Eitrem S-Amundsen L , P.Oslo III, 104, 1936 -- Eitrem S-Amundsen L , P.Oslo III, 1936, p. 279 (l. 5)	p.oslo;3;104			"
124	SO 3	Rudberg G	1925	20-25	Pl.1			Rudberg G, SO 3, 20-25, 1925, Pl.1				"
125	P.Oslo II	Eitrem S-Amundsen L 	1931	8				Eitrem S-Amundsen L , P.Oslo II, 8, 1931				"
126	P.Oslo II	Eitrem S-Amundsen L 	1931	9				Eitrem S-Amundsen L , P.Oslo II, 9, 1931				"
127	P.Oslo II	Eitrem S-Amundsen L 	1931	10				Eitrem S-Amundsen L , P.Oslo II, 10, 1931				"
128	P.Oslo III	Eitrem S-Amundsen L 	1936	68	Plate IIIa			Eitrem S-Amundsen L , P.Oslo III, 68, 1936, Plate IIIa				"
129	P.Oslo III	Eitrem S-Amundsen L 	1936	69				Eitrem S-Amundsen L , P.Oslo III, 69, 1936				"
130	P.Oslo III	Eitrem S-Amundsen L 	1936	77	Pl.II		P.Oslo III (1936) 278 (l.21)	Eitrem S-Amundsen L , P.Oslo III, 77, 1936, Pl.II -- P.Oslo III (1936) 278 (l.21)	p.oslo;3;77			"
131	P.Oslo III	Eitrem S-Amundsen L 	1936	131			Hagedorn D, Tyche 26 (2011) 298 (l. 1-2; 25-26)	Eitrem S-Amundsen L , P.Oslo III, 131, 1936 -- Hagedorn D, Tyche 26 (2011) 298 (l. 1-2; 25-26)	p.oslo;3;131			"
132	P.Oslo II	Eitrem S-Amundsen L 	1931	24			Schmidt KFW, Gött.Gel.Anz. 194 (1932) 281 (l.3); P.Oslo III (1936) 275;Hagedorn D, Tyche 26 (2011) 296 (l.2)	Eitrem S-Amundsen L , P.Oslo II, 24, 1931,  -- Schmidt KFW, Gött.Gel.Anz. 194 (1932) 281 (l.3); P.Oslo III (1936) 275;Hagedorn D, Tyche 26 (2011) 296 (l.2)	p.oslo;2;24			"
133	P.Oslo III	Eitrem S-Amundsen L 	1936	66				Eitrem S-Amundsen L , P.Oslo III, 66, 1936				"
134	P.Oslo III	Eitrem S-Amundsen L 	1936	143				Eitrem S-Amundsen L , P.Oslo III, 143, 1936	p.oslo;3;143			"
135	P.Oslo II	Eitrem S-Amundsen L 	1931	17			Schmidt K, Gött.Gel.Anz. 194 (1932) 280 (l.8,10)P.Oslo III (1936) 274 (l. 8,9,12f.)	Eitrem S-Amundsen L , P.Oslo II, 17, 1931 -- Schmidt K, Gött.Gel.Anz. 194 (1932) 280 (l.8,10)P.Oslo III (1936) 274 (l. 8,9,12f.)	p.oslo;2;17			"
136	P.Oslo III	Eitrem S-Amundsen L 	1936	67				Eitrem S-Amundsen L , P.Oslo III, 67, 1936				"
137	P.Oslo II	Eitrem S-Amundsen L 	1931	20			Youtie H, CPh 27 (1932) 92-93 (l.1) Eitrem S-Amundsen L, P.Oslo III, 275 (l.1,2)Hagedorn U, BASP 16 (1979) 64 (Date)	Eitrem S-Amundsen L , P.Oslo II, 20, 1931 -- Youtie H, CPh 27 (1932) 92-93 (l.1) Eitrem S-Amundsen L, P.Oslo III, 275 (l.1,2)Hagedorn U, BASP 16 (1979) 64 (Date)	p.oslo;2;20			"
