"id","record_id","person_id","person_role","kommentar","pseudonym","posisjon"
65,35,11,"[""forfatter""]",,,1
66,35,9,"[""kritiker""]",,,1
67,36,11,"[""forfatter""]",,,1
68,36,9,"[""kritiker""]",,,1
69,37,11,"[""forfatter""]",,,1
70,37,11,"[""kritiker""]",,,1
71,38,11,"[""forfatter""]",,,1
72,39,11,"[""forfatter""]",,,1
73,40,11,"[""forfatter""]",,,1
74,40,11,"[""kritiker""]",,,1
75,41,11,"[""forfatter""]",,,1
76,41,16,"[""kritiker""]",,,1
77,42,11,"[""forfatter""]",,,1
78,42,17,"[""kritiker""]",,,1
79,43,11,"[""forfatter""]",,,1
80,43,18,"[""kritiker""]",,"Lja Flejn",1
81,44,11,"[""forfatter""]",,,1
82,44,11,"[""kritiker""]",,,1
83,45,19,"[""forfatter""]",,,1
84,45,11,"[""kritiker""]",,,1
85,46,11,"[""forfatter""]",,,1
86,46,20,"[""kritiker""]",,,1
87,47,11,"[""forfatter""]",,,1
88,47,21,"[""kritiker""]",,,1
89,48,11,"[""forfatter""]",,,1
90,48,20,"[""kritiker""]",,,1
91,49,11,"[""forfatter""]",,,1
92,49,22,"[""kritiker""]",,,1
93,50,11,"[""forfatter""]",,,1
94,50,22,"[""kritiker""]",,,1
95,51,11,"[""forfatter""]",,,1
96,51,11,"[""kritiker""]",,,1
97,52,11,"[""forfatter""]",,,1
98,52,22,"[""kritiker""]",,,1
99,53,23,"[""forfatter""]",,,1
100,53,24,"[""kritiker""]",,"C., 9",1
101,54,23,"[""forfatter""]",,,1
102,54,24,"[""kritiker""]",,,1
103,55,25,"[""forfatter""]",,,1
104,55,24,"[""kritiker""]",,,1
105,56,25,"[""forfatter""]",,,1
106,56,24,"[""kritiker""]",,,1
107,57,24,"[""kritiker""]",,,1
108,58,26,"[""kritiker""]",,,1
109,59,25,"[""forfatter""]",,,1
110,59,27,"[""kritiker""]",,,1
111,60,24,"[""kritiker""]",,,1
112,61,25,"[""forfatter""]",,,1
