"id","name","entity_type","noraf_id"
406,"Aanderaa, Johannes","person",
407,"Hjeltnes, Guri","person",
408,"Brox, Ottar","person",
409,"Dahl, Ragnar","person",
410,"Dale, Aasmund","person",
411,"Oksnevad, Reidar","person",
412,"Danielsen, Kirsten","person",
413,"Eide, Martin","person",
414,"Flogstad, Kjartan","person",
415,"Hellesnes, Jon","person",
416,"Forfang, Asmund","person",
417,"Fallem, Elin","person",
418,"Ugland, Anne Marie","person",
419,"Halse, Marte E.","person",
420,"Trosterud, Trond","person",
421,"Nergard, Mette Elisabeth","person",
422,"Kiil, Hanne","person",
423,"Rekdal, Kari Wille","person",
424,"Fredin, Mariann Aalmo","person",
425,"Myhre, Jan Eivind","person",
426,"Koltzow, Liv","person",
427,"Sorheim, Torunn Arntsen","person",
428,"Skre, Arnhild","person",
429,"Okland, Ingunn","person",
430,"Asdal, Kristin","person",
431,"Ruud, Johan T.","person",
432,"Paulsen, Per","person",
433,"Mykland, Rut","person",
434,"Christensen, Chr. A. R.","person",
435,"Houm, Philip","person",
436,"Steen, Ellisiv","person",
438,"Hagesaether, Olav","person",
439,"Rasmussen, Tarald","person",
440,"Wyller, Trygve","person",
441,"Beyer, Harald","person",
442,"Christophersen, Tom","person",
443,"Hageberg, Otto","person",
444,"Elseth, Egil","person",
445,"Tysdahl, Bjorn","person",
446,"Seim, Turid Karlsen","person",
447,"Bromark, Stian","person",
448,"Engebretsen, Martin","person",
449,"Vassenden, Lars","person",
450,"Tjotta, Sigve","person",
451,"Jenssen, Dag","person",
452,"Petersen, Hanne","person",
453,"Hjorthol, Geir","person",
454,"Dale, Johs. A.","person",
455,"Gronvold, Didrik","person",
456,"Hofgaard, S. W.","person",
457,"Ringard, Morten","person",
458,"Ruge, Herman","person",
459,"Sirevaag, Oyvind","person",
460,"Tveteras, Alf","person",
461,"Noklestad, Hans Olaf","person",
462,"Undset, Sigrid","person",
463,"Daniloff, Jan Fr.","person",
464,"Rekdal, Solveig Helene","person",
465,"Nyseth, Liv Idun","person",
466,"Vaage, Jakob","person",
467,"Kringlen, Einar","person",
468,"Evensmo, Sigurd","person",
469,"Anthonsen, Reidar","person",
470,"Borgen, Johan","person",
471,"Kortner, Olaf","person",
472,"Hagtvet, Bernt","person",
473,"Sjogren-Erichsen, Torleif","person",
474,"Gronnestad, Dag","person",
475,"Hoel, Sisken Skjelderup","person",
476,"Elster, Kristian","person",
477,"Kildal, Arne","person",
478,"Bjerkmann, Tor","person",
479,"Ringdal, Nils Johan","person",
480,"Larsen, Terje Holtet","person",
481,"Borchgrevink, Aage","person",
482,"Mathiassen, Jorid","person",
483,"Vindegg, Guri M.","person",
484,"Zahl, Jan","person",
485,"Eyde, Benedicte","person",
486,"Roskeland, Marianne","person",
487,"Soltvedt, Thor","person",
488,"Helle, Oystein","person",
489,"Sjolie, Gunvor","person",
490,"Solberg, Janca","person",
491,"Andersen, Oivind","person",
492,"Greipsland, Torbjorn","person",
493,"Lindhardt, Jan","person",
494,"Vaage, Lars Amund","person",
495,"Lovetann, Leo","person",
496,"Nilssen, Olaug","person",
497,"Nordman, Marianne","person",
498,"Lauren, Christer","person",
499,"Joachimsen, Kristin","person",
500,"Mosvold, Kristian Gundersen","person",
501,"Nymoen, Ingrid","person",
502,"Berner, Mia","person",
503,"Gulbrandsen, Adelheid E. Seyfarth","person",
504,"Tretvoll, Halvor Finess","person",
505,"Gjesdal, Kristin","person",
506,"Sobye, Espen","person",
507,"Melberg, Arne","person",
508,"Rem, Tore","person",
509,"Hoem, Siri","person",
510,"Rossaak, Eivind","person",
511,"Steinick, Karl","person",
512,"Olstad, Finn","person",
513,"Solberg, Per Olav","person",
514,"Hoghaug, Leif","person",
515,"Westlie, Bjorn","person",
516,"Lundesgaard, Erik","person",
517,"Ostenstad, Inger","person",
518,"Lejon, Egil","person",
519,"Oyan, Tuva Gry","person",
520,"Gjefsen, Dorte","person",
521,"Ottosen, Rune","person",
522,"Geelmuyden, Niels Chr.","person",
523,"Spjeldnaes, Kari J.","person",
524,"Kvilhaug, Terje","person",
525,"Stugu, Ola Svein","person",
526,"Eliassen, Jorgen","person",
527,"Hubbard, William H.","person",
528,"Fure, Odd-Bjorn","person",
529,"Jacobsen, Nils Kare","person",
530,"Norsk kulturrad","person",
531,"Egeland, Kjolv","person",
532,"Ottosen, Kristian","person",
533,"Hoigard, Anne","person",
534,"Vagslid, Eivind","person",
535,"Lorentzen, Ludvig","person",
536,"Fretland, Jan Olav","person",
537,"Gundersen, Jan Brage","person",
538,"Hanssen, Reidulf","person",
539,"Aaronaes, Lars","person",
540,"Evensen, Lars Sigfred","person",
541,"Mehlum, Anders","person",
542,"Smidt, Jon","person",
543,"Akslen, Laila","person",
544,"Aas, Hedda","person",
545,"Rolfsen, Nordahl","person",
546,"Rolfsen, Christian Nordahl","person",
547,"Morkhagen, Sverre","person",
548,"Skjaeveland, Yngve","person",
549,"Fossestol, Bernt","person",
550,"Eichberg, Henning","person",
551,"Hansen, Jorn","person",
552,"Lein, Ellen","person",
553,"Aase, Laila","person",
554,"Hagtvet, Bente Eriksen","person",
555,"Wisloff, Carl Fr.","person",
556,"Wale, Thorbjorn","person",
557,"Laerum, Even","person",
558,"Kjol, Per Eivind","person",
559,"Hole, Ola","person",
560,"Sjaastad, Oystein","person",
561,"Odegarden, Olav","person",
562,"Odegard, Daniel","person",
563,"Aagedal, Olaf","person",
668,"Kvaale, Reidun","person",
565,"Hovdenak, Marit","person",
566,"Andersen, Viggo","person",
567,"Veda, Stig Anton","person",
568,"Valen-Sendstad, Aksel","person",
569,"Argel, Liv","person",
570,"Vargas, Reidun S. Tjomsland de","person",
571,"Berg, Nina","person",
572,"Aukrust, Tor","person",
573,"Bakke, Audun","person",
574,"Bergheim, Irene","person",
575,"Bergmann, Kjetil","person",
576,"Berntsen, Lars Viggo","person",
577,"Svortdal, Knut","person",
578,"Bilstad, Karl-Anders","person",
579,"Storvig, Ragnhild","person",
580,"Stoltenberg, Sverre R.","person",
581,"Stavenes, Rudolf","person",
582,"Sortevik, Per","person",
583,"Solheim, Ellen","person",
584,"Skrinde, Mona","person",
