"publication_id","creator_id","posisjon","role"
626,345,2,["forfatter"]
626,326,1,["forfatter"]
627,1,1,["redaktør"]
627,348,1,["forfatter"]
628,347,1,["forfatter"]
631,349,1,["forfatter"]
1138,693,5,["redaktør"]
632,350,1,["forfatter"]
633,123,1,["forfatter"]
634,351,1,["forfatter"]
635,246,1,["forfatter"]
636,352,1,["forfatter"]
637,136,1,["forfatter"]
638,5,1,["forfatter"]
639,353,1,["forfatter"]
640,5,1,["forfatter"]
641,354,1,["forfatter"]
642,355,1,["redaktør"]
643,355,1,["redaktør"]
644,282,1,["forfatter"]
645,356,1,["forfatter"]
646,282,1,["forfatter"]
647,357,1,["forfatter"]
648,358,1,["forfatter"]
649,283,1,["forfatter"]
650,359,1,["forfatter"]
651,126,1,["forfatter"]
652,361,2,["forfatter"]
652,360,1,["forfatter"]
653,362,1,["forfatter"]
654,363,1,["redaktør"]
655,364,1,["forfatter"]
656,290,1,["forfatter"]
657,365,1,["forfatter"]
658,366,1,["forfatter"]
659,5,1,["forfatter"]
660,367,1,["forfatter"]
661,359,1,["forfatter"]
662,286,1,["forfatter"]
664,367,1,["forfatter"]
666,27,1,["forfatter"]
667,12,1,["forfatter"]
668,368,1,["forfatter"]
669,369,1,["forfatter"]
670,184,1,["forfatter"]
671,370,1,["forfatter"]
672,35,1,["redaktør"]
673,35,1,["redaktør"]
673,36,2,["redaktør"]
673,37,3,["redaktør"]
674,371,1,["forfatter"]
675,219,1,["forfatter"]
677,372,1,["forfatter"]
678,337,1,["forfatter"]
679,373,1,["forfatter"]
680,374,1,["forfatter"]
681,232,1,["forfatter"]
682,232,3,["forfatter"]
682,376,2,["forfatter"]
682,375,1,["forfatter"]
683,377,1,["forfatter"]
684,377,1,["forfatter"]
685,378,1,["forfatter"]
686,353,1,["forfatter"]
687,379,1,["forfatter"]
688,380,1,["forfatter"]
689,381,1,["forfatter"]
690,382,1,["forfatter"]
691,383,1,["forfatter"]
692,384,1,["forfatter"]
693,385,1,["forfatter"]
694,387,2,["forfatter"]
694,386,1,["forfatter"]
695,386,1,["forfatter"]
696,124,1,["forfatter"]
697,388,1,["forfatter"]
698,389,1,["forfatter"]
699,390,1,["forfatter"]
700,193,1,["forfatter"]
701,391,1,["redaktør"]
702,392,1,["forfatter"]
703,393,1,["forfatter"]
704,394,1,["forfatter"]
705,395,1,["forfatter"]
706,391,1,["redaktør"]
707,396,1,["forfatter"]
708,397,1,["forfatter"]
709,398,1,["forfatter"]
710,399,1,["forfatter"]
1138,407,4,["redaktør"]
711,399,1,["forfatter"]
712,401,1,["forfatter"]
1097,38,1,["forfatter"]
714,34,1,["forfatter"]
715,162,1,["redaktør"]
716,402,1,["forfatter"]
717,133,1,["redaktør"]
718,403,1,["forfatter"]
719,404,1,["redaktør"]
719,405,2,["redaktør"]
719,134,3,["redaktør"]
